access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
considerate	/kənˈsɪdɝət/	adj. 体贴的；考虑周到的
twist	/ˈtwɪst/	v. 扭曲，使弯曲
citizen	/ˈsɪtəzən/, /ˈsɪtɪzən/	n. 市民，城镇居民；公民
stake	/ˈsteɪk/	n. 风险
keenly	/ˈkinɫi/	adv. 敏锐地
superficial	/ˌsupɝˈfɪʃəɫ/	adj. 肤浅的
flexibility	/ˌfɫɛksəˈbɪɫəti/	n. 灵活性；适应性
favorable	/ˈfeɪvɝəbəɫ/, /ˈfeɪvɹəbəɫ/	adj. 赞同的
competent	/ˈkɑmpətɪnt/	adj. 胜任的，有能力的
emotional	/ˈiˌmoʊʃənəɫ/, /ɪˈmoʊʃənəɫ/	adj. 情绪(上)的，情感(上)的；激起感情的； 敏感的；情绪激动的〔尤指哭泣〕
pioneer	/ˌpaɪəˈnɪɹ/	v. 开拓，开发
sustain	/səˈsteɪn/	n. 维持
gloomy	/ˈɡɫumi/	adj. 阴沉的，沮丧的
convince	/kənˈvɪns/	v. 使相信
profitable	/ˈpɹɑfətəbəɫ/	adj. 有利可图的，有益的
routinely	/ɹuˈtinɫi/	adv. 例行公事地
phenomenon	/fəˈnɑməˌnɑn/	n. 现象
variety	/vɝˈaɪəti/	n. 多样
gum	/ˈɡəm/	n. 牙龈
criticism	/ˈkɹɪtɪˌsɪzəm/	n. 批评
fatal	/ˈfeɪtəɫ/	adj. 致命的，攸关的
delightful	/dɪˈɫaɪtfəɫ/	adj. 高兴的
tedious	/ˈtidiəs/	adj. 单调沉闷的
flexible	/ˈfɫɛksəbəɫ/	adj. 灵活的
considerably	/kənˈsɪdɝəbɫi/	adv. 相当地，非常地
efficiently	/ɪˈfɪʃəntɫi/	adj. 有效地
appearance	/əˈpɪɹəns/	n. 外表, 外观；出现
album	/ˈæɫbəm/	n. 粘贴簿，集邮簿，册
optimistic	/ˌɑptəˈmɪstɪk/	adj. 乐观的
clue	/ˈkɫu/	n. 线索
grief	/ˈɡɹif/	n. 悲伤
synthetic	/sɪnˈθɛtɪk/	adj. 合成的，人造的
resistance	/ɹiˈzɪstəns/, /ɹɪˈzɪstəns/	n. 抵御，抵抗；抵抗力
install	/ˌɪnˈstɔɫ/	v. 安装
pledge	/ˈpɫɛdʒ/	n. 保证，誓言
unique	/juˈnik/	adj. 独特的，唯一的
stock	/ˈstɑk/	n. 股票；库存
disadvantage	/ˌdɪsədˈvænɪdʒ/, /ˌdɪsədˈvæntɪdʒ/	n. 不利情况，缺点
compensate	/ˈkɑmpənˌseɪt/	v. 弥补，补偿
rescue	/ˈɹɛskju/	v. 营救，援救
monitor	/ˈmɑnətɝ/	v. 监控；监听
refusal	/ɹəfˈjuzəɫ/, /ɹɪfˈjuzəɫ/	n. 拒绝
exile	/ˈɛɡˌzaɪɫ/, /ˈɛkˌsaɪɫ/	n. 流放，放逐
encourage	/ɛnˈkɝɪdʒ/, /ɪnˈkɝədʒ/	v. 鼓励
concept	/ˈkɑnsɛpt/	n. 观点，观念
render	/ˈɹɛndɝ/	v. 给予
trait	/ˈtɹeɪt/	n. 性格
feature	/ˈfitʃɝ/	n. 特点
reframe	v. 再构造(图画、照片等)
identify	/aɪˈdɛntəˌfaɪ/	v. 认出，识别；视为
impose	/ˌɪmˈpoʊz/	v. 强加
snack	/ˈsnæk/	n. 零食，小吃
require	/ˌɹiˈkwaɪɝ/, /ɹiˈkwaɪɹ/, /ɹɪˈkwaɪɝ/	v. 要求，命令
donation	/doʊˈneɪʃən/	n. 捐赠
equal	/ˈikwəɫ/	adj. 相等的，平等的
rare	/ˈɹɛɹ/	adj. 罕有的，少见的
specify	/ˈspɛsəˌfaɪ/	v. 指定，具体说明
constant	/ˈkɑnstənt/	adj. 不断的，持续的
standardize	/ˈstændɝˌdaɪz/	v. 使标准化
consume	/kənˈsum/	v. 消费，消耗
status	/ˈstætəs/, /ˈsteɪtəs/	n. 地位
complement	/ˈkɑmpɫəmənt/	v. 补充
lengthy	/ˈɫɛŋθi/	adj. 长的，漫长的
embarrassed	/ɪmˈbɛɹəst/	adj. 尴尬的；窘迫的
rational	/ˈɹæʃənəɫ/, /ˈɹæʃnəɫ/	adj. 神智清楚的
distant	/ˈdɪstənt/	adj. 遥远的
homemaker	/ˈhoʊmˌmeɪkɝ/	n. 主妇
exception	/ɪkˈsɛpʃən/	n. 例外
sustainable	/səˈsteɪnəbəɫ/	adj. 可持续的
trigger	/ˈtɹɪɡɝ/	v. 引发，引起
intend	/ˌɪnˈtɛnd/	v. 打算
spread	/ˈspɹɛd/	v. 扩散；传播
estimate	/ˈɛstəˌmeɪt/, /ˈɛstəmət/	v. 估计
technique	/tɛkˈnik/	n. 技巧，手艺；技术，技能
include	/ˌɪnˈkɫud/	v. 包含
academic	/ˌækəˈdɛmɪk/	adj. 学术的
distinctive	/dɪˈstɪŋktɪv/	adj. 独特的，与众不同的
consist	/kənˈsɪst/	v. 由……组成
bid	/ˈbɪd/	n. 出价，投标 v. 出价，投标
benefit	/ˈbɛnəfɪt/	v. 有益于，有助于
downsize	/ˈdaʊnˌsaɪz/	v. 裁员
avoid	/əˈvɔɪd/	v. 避免
gender	/ˈdʒɛndɝ/	n. 性别
interracial	/ˌɪntɝˈɹeɪʃəɫ/	adj. 种族间的
complaint	/kəmˈpɫeɪnt/	n. 抱怨; 投诉
pattern	/ˈpætɝn/	n. 模式
mood	/ˈmud/	n. 心情
sympathy	/ˈsɪmpəθi/	n. 同情心
discount	/ˈdɪskaʊnt/, /dɪˈskaʊnt/	n. 折扣
value	/ˈvæɫju/	v. 重视
altitude	/ˈæɫtəˌtud/	n. 海拔, 高度
groundsheet	n. 防潮布
evolutionary	/ˌɛvəˈɫuʃəˌnɛɹi/, /ˌɛvoʊˈɫuʃəˌnɛɹi/, /ˌivəˈɫuʃəˌnɛɹi/, /ˌivoʊˈɫuʃəˌnɛɹi/	adj. 进化的；演变的
implement	/ˈɪmpɫəmənt/	v. 实施，执行
dominant	/ˈdɑmənənt/	adj. 占优势的
scope	/ˈskoʊp/	n. 范围
suspect	/ˈsəsˌpɛkt/, /səˈspɛkt/	v. 怀疑，猜想 n. 嫌疑犯
confrontation	/ˌkɑnfɹənˈteɪʃən/	n. 冲突，对抗
puzzle	/ˈpəzəɫ/	v. 迷惑 n. 难解之事，谜
critic	/ˈkɹɪtɪk/	n. 批评家，评论家
apartment	/əˈpɑɹtmənt/	n. 公寓
analyze	/ˈænəˌɫaɪz/	v. 分析
maintain	/meɪnˈteɪn/	v. 维持；主张
curb	/ˈkɝb/	v. 控制 n. 控制
version	/ˈvɝʒən/	n. 版本
rival	/ˈɹaɪvəɫ/	n. 对手
beneficial	/ˌbɛnəˈfɪʃəɫ/	adj. 有利的，有益的
substantial	/səbˈstænʃəɫ/	adj. 大量的
recover	/ɹɪˈkəvɝ/	v. 恢复；重新获得；寻回
diploma	/dɪˈpɫoʊmɑ/	n. 文凭
carpenter	/ˈkɑɹpəntɝ/	n. 木匠
circumstance	/ˈsɝkəmˌstæns/	n. 环境，境遇
canteen	/kænˈtin/	n. 食堂
advocator	n. 主张者，倡导者
disorderly	/dɪˈsɔɹdɝɫi/	adj. 杂乱的
essentially	/ɛˈsɛnʃəɫi/, /iˈsɛnʃəɫi/	adv. 本质上，根本上
prevent	/pɹiˈvɛnt/, /pɹɪˈvɛnt/	v. 预防
ceremony	/ˈsɛɹəˌmoʊni/	n. 典礼，仪式
assume	/əˈsum/	v. 假定，认为
demand	/dɪˈmænd/	n. 需求，要求 v. 要求
principle	/ˈpɹɪnsəpəɫ/	n. 原则，原理
reception	/ɹiˈsɛpʃən/, /ɹɪˈsɛpʃən/	n. 接待；反响
transfer	/ˈtɹænsfɝ/, /tɹænsˈfɝ/	v. 转换，调换 n. 转换，调换
preventable	/pɹiˈvɛntəbəɫ/, /pɹɪˈvɛntəbəɫ/	adj. 可预防的
anticipate	/ænˈtɪsəˌpeɪt/	v. 预感
assumption	/əˈsəmpʃən/	n. 假定，假设
prescription	/pɹəsˈkɹɪpʃən/	n. 处方
evolution	/ˌɛvəˈɫuʃən/, /ˌɛvoʊˈɫuʃən/, /ˌivəˈɫuʃən/, /ˌivoʊˈɫuʃən/	n. 演变，进化
annoy	/əˈnɔɪ/	v. 使反感，厌烦
unintended	/ˌənɪnˈtɛndɪd/	adj. 意想不到的
origin	/ˈɔɹədʒən/	n. 起源
qualify	/ˈkwɑɫəˌfaɪ/	v. 使……有资格
emergence	/ˈimɝdʒəns/, /ɪˈmɝdʒəns/	n. 出现，发生
complain	/kəmˈpɫeɪn/	v. 抱怨
merit	/ˈmɛɹət/	n. 优点，成绩 v. 值得
forum	/ˈfɔɹəm/	n. 论坛
arrange	/ɝˈeɪndʒ/	v. 安排，筹划
determination	/dɪˌtɝməˈneɪʃən/	n. 意志
bargain	/ˈbɑɹɡən/, /ˈbɑɹɡɪn/	n. 便宜货，减价品
appetite	/ˈæpəˌtaɪt/	n. 欲望, 胃口
neutral	/ˈnutɹəɫ/	adj. 中立的
primitive	/ˈpɹɪmətɪv/, /ˈpɹɪmɪtɪv/	adj. 原始的；简单的；简单的，简陋的
therapy	/ˈθɛɹəpi/	n. 疗法 治疗
conscience	/ˈkɑnʃəns/	n. 良心
define	/dɪˈfaɪn/	v. 确定；下定义
creativity	/ˌkɹieɪˈtɪvəti/	n. 创造力
tailor	/ˈteɪɫɝ/	v. 调整使适应
dramatically	/dɹəˈmætɪkəɫi/, /dɹəˈmætɪkɫi/	adv. 戏剧性地，引人注目地
panic	/ˈpænɪk/	n. 惊恐
motivation	/ˌmoʊtəˈveɪʃən/	n. 激励，刺激
durable	/ˈdʊɹəbəɫ/	adj. 持久的，耐用的
remedy	/ˈɹɛmədi/	n. 药物
inevitable	/ˌɪˈnɛvətəbəɫ/	adj. 不可避免的
diverse	/daɪˈvɝs/, /dɪˈvɝs/	adj. 各种各样的
context	/ˈkɑntɛkst/	n. 背景，环境
prominent	/ˈpɹɑmənənt/	adj. 杰出的；突出的，凸起的
witness	/ˈwɪtnəs/	n. 目击者，目击
save	/ˈseɪv/	v. 节省
inherit	/ˌɪnˈhɛɹət/	v. 继承
occasion	/əˈkeɪʒən/	n. 场合
initiative	/ˌɪˈnɪʃətɪv/, /ˌɪˈnɪʃjətɪv/	n. 主动权，自主权
insight	/ˈɪnˌsaɪt/	n. 洞察力，洞悉
misguided	/mɪsˈɡaɪdɪd/	adj. 被误导的
sponsor	/ˈspɑnsɝ/	v. 赞助
porter	/ˈpɔɹtɝ/	n. 搬运工
loyalty	/ˈɫɔɪəɫti/	n. 忠诚，忠实
overwhelming	/ˌoʊvɝˈwɛɫmɪŋ/, /ˌoʊvɝhˈwɛɫmɪŋ/	adj. 压倒性的
appreciation	/əˌpɹiʃiˈeɪʃən/	n. 感激
setting	/ˈsɛtɪŋ/	n. 背景，环境
display	/dɪsˈpɫeɪ/	n. 展览 v. 展览
deliver	/dɪˈɫɪvɝ/	v. 发表
astonish	/əˈstɑnɪʃ/	v. 使惊讶，使大为吃惊
adequate	/ˈædəˌkweɪt/, /ˈædəkwət/	adj. 足够的
consumption	/kənˈsəmpʃən/, /kənˈsəmʃən/	n. 消费，消耗
abuse	/əbˈjus/, /əbˈjuz/	v. 虐待；滥用
broad	/ˈbɹɔd/	adj. 宽的
inappropriate	/ˌɪnəˈpɹoʊpɹiɪt/	adj. 不合适的
worldwide	/ˈwɝɫdˈwaɪd/	adv. 全世界范围地
strict	/ˈstɹɪkt/	adj. 严格的
means	/ˈminz/	n. 方法
reveal	/ɹiˈviɫ/, /ɹɪˈviɫ/	v. 揭露，揭示
confirm	/kənˈfɝm/	v. 证实
consensus	/kənˈsɛnsəs/	n. 一致意见
agent	/ˈeɪdʒənt/	n. 代理商
neighborhood	/ˈneɪbɝˌhʊd/	n. 地区
participate	/pɑɹˈtɪsəˌpeɪt/	v. 参与，参加
valid	/ˈvæɫɪd/	adj. 有效的
initially	/ˌɪˈnɪʃəɫi/	adv. 最初，起初
slightly	/ˈsɫaɪtɫi/	adv. 轻微地
objection	/əbˈdʒɛkʃən/	n. 反对
atmosphere	/ˈætməsˌfɪɹ/	n. 气氛；大气；空气
assign	/əˈsaɪn/	v. 布置；分配
evidence	/ˈɛvədəns/	n. 根据，证据，迹象
racially	/ˈɹeɪʃəɫi/	adv. 种族上地
exclude	/ɪkˈskɫud/	v. 排除，不包括
available	/əˈveɪɫəbəɫ/	adj. 可利用的，现有的；可获得的
puzzling	/ˈpəzəɫɪŋ/, /ˈpəzɫɪŋ/	adj. 令人困惑的
evaluation	/iˌvæɫjuˈeɪʃən/, /ɪˌvæɫjuˈeɪʃən/	n. 评价，评估
irritate	/ˈɪɹɪˌteɪt/	v. 激怒
distinguished	/dɪˈstɪŋɡwɪʃt/	adj. 显著的，杰出的
depressing	/dɪˈpɹɛsɪŋ/	adj. 令人沮丧的
mutually	/ˈmjutʃuəɫi/	adv. 互相地
mission	/ˈmɪʃən/	n. 使命，任务；代表团
migration	/maɪˈɡɹeɪʃən/	n. 迁移，移民
site	/ˈsaɪt/	n. 场所，地址
expectation	/ˌɛkspɛkˈteɪʃən/	n. 期望
update	/ˈəpˌdeɪt/, /əpˈdeɪt/	v. 更新；使现代化
gear	/ˈɡɪɹ/	n. 齿轮 v. 使合适
reproductive	/ˌɹipɹəˈdəktɪv/	adj. 生殖的，再生的
incredible	/ˌɪnˈkɹɛdəbəɫ/	adj. 不可思议的
backward	/ˈbækwɝd/	adv. 向后
raise	/ˈɹeɪz/	v. 提高；筹款；抚养
prohibit	/pɹoʊˈhɪbət/	v. 禁止，阻止，防止
bother	/ˈbɑðɝ/	v. 麻烦；打扰
pose	/ˈpoʊz/	v. 摆姿势，装腔作势 n. 姿势
instrument	/ˈɪnstɹəmənt/	n. 仪器，器械，工具
mask	/ˈmæsk/	v. 掩饰
essential	/ɛˈsɛnʃəɫ/, /iˈsɛnʃəɫ/	adj. 必须的；本质的
harvest	/ˈhɑɹvəst/	n. 丰收，收获
reject	/ˈɹidʒɛkt/, /ɹɪˈdʒɛkt/	v. 拒绝，驳回
advancement	/ədˈvænsmənt/	n. 进步，提升
skyrocket	/ˈskaɪˌɹɑkət/	v. 突升，猛涨
characteristic	/ˌkɛɹəktɝˈɪstɪk/	n. 特点
implication	/ˌɪmpɫəˈkeɪʃən/	n. 含义，暗示
measure	/ˈmɛʒɝ/	n. 分量 v. 测量
replacement	/ɹɪˈpɫeɪsmənt/	n. 代替
easygoing	/ˈiziˈɡoʊɪŋ/	adj. 脾气随和的，温和的
squeeze	/ˈskwiz/	v. 压，榨
exhibition	/ˌɛksəˈbɪʃən/	n. 展览
responsibility	/ɹiˌspɑnsəˈbɪɫəti/	n. 责任
enhance	/ɛnˈhæns/	v. 提高；加强；增加
retain	/ɹiˈteɪn/, /ɹɪˈteɪn/	v. 保留,留用
convey	/kənˈveɪ/	v. 传达，传递
regulation	/ˌɹɛɡjəˈɫeɪʃən/	n. 管理；规则
integrity	/ˌɪnˈtɛɡɹəti/, /ɪnˈtɛɡɹɪti/	n. 完整
combine	/ˈkɑmbaɪn/, /kəmˈbaɪn/	v. 联合，结合
impermanency	n. 非永久性
catalogue	/ˈkætəˌɫɔɡ/	v. 把……编入目录
council	/ˈkaʊnsəɫ/	n. 议会
prepare	/pɹiˈpɛɹ/	v. 做准备
inquiry	/ˌɪnˈkwaɪˌɹi/, /ɪnkwɝɹi/	n. 询问
tension	/ˈtɛnʃən/	n. 紧张
prompt	/ˈpɹɑmpt/	adj. 迅速的；立刻的；及时的 v. 促使；激励
attendance	/əˈtɛndəns/	n. 出席人数
retail	/ˈɹiˌteɪɫ/	n. 零售 v. 零售
image	/ˈɪmədʒ/, /ˈɪmɪdʒ/	n. 形象，声誉，；印象
quantity	/ˈkwɑntəti/	n. 量，数量
inspector	/ˌɪnˈspɛktɝ/	n. 检查员
endurance	/ˈɛndɝəns/	n. 耐力
simplify	/ˈsɪmpɫəˌfaɪ/	v. 简化
range	/ˈɹeɪndʒ/	n. 范围 v. 在范围内变化
accomplish	/əˈkɑmpɫɪʃ/	v. 完成
treatment	/ˈtɹitmənt/	n. 治疗；对待
spare	/ˈspɛɹ/	adj. 空闲的
welfare	/ˈwɛɫˌfɛɹ/	n. 幸福；福利
boost	/ˈbust/	n. 推动 v. 促使，促进
consciousness	/ˈkɑnʃəsnəs/	n. 意识
patiently	/ˈpeɪʃəntɫi/	adv. 耐心地
decent	/ˈdisənt/	adj. 正派的，体面的
review	/ˌɹivˈju/	n. 回顾 v. 复习
considerable	/kənˈsɪdɝəbəɫ/	adj. 相当大(或多)的
misguide	/mɪsˈɡaɪd/	v. 误导
foundation	/faʊnˈdeɪʃən/	n. 地基；基础；；基金会
postgraduate	n. 研究生
prevail	/pɹiˈveɪɫ/, /pɹɪˈveɪɫ/	v. 流行，盛行
solid	/ˈsɑɫəd/	adj. 扎实的，坚实的
counsel	/ˈkaʊnsəɫ/	v. 忠告，建议
maximum	/ˈmæksəməm/	n. 最大值，最大量 a. 最大值的，最大量的
abstract	/ˈæbˌstɹækt/, /æbˈstɹækt/	adj. 抽象的
realistic	/ˌɹiəˈɫɪstɪk/	adj. 现实的，实际的
ban	/ˈbæn/	v. 禁止
ashamed	/əˈʃeɪmd/	adj. 羞耻的；内疚的；惭愧的
solve	/ˈsɑɫv/	v. 解决
reinforce	/ˌɹiɪnˈfɔɹs/	v. 加强，强化
applicant	/ˈæpɫɪkənt/	n. 申请人
tuition	/tjuˈɪʃən/	n. 学费
persistence	/pɝˈsɪstəns/	n. 坚持不懈
overcome	/ˈoʊvɝˌkəm/	v. 战胜，克服
bride	/ˈbɹaɪd/	n. 新娘
engagement	/ɛnˈɡeɪdʒmənt/	n. 婚约
household	/ˈhaʊsˌhoʊɫd/	n. 家庭，一家人
evaluate	/iˈvæɫjuˌeɪt/, /ɪˈvæɫjuˌeɪt/	v. 评价
saint	/ˈseɪnt/	n. 圣人
delay	/dɪˈɫeɪ/	v. 推迟，延期
private	/ˈpɹaɪvət/	adj. 私人的
definition	/ˌdɛfəˈnɪʃən/	n. 定义
influential	/ˌɪnfɫuˈɛnʃəɫ/	adj. 有影响力的
recommend	/ˌɹɛkəˈmɛnd/	v. 推荐；劝告；使受欢迎
frontier	/fɹənˈtɪɹ/	n. 边境
concern	/kənˈsɝn/	n. 重要的事情 v. 与…有关，关于
organ	/ˈɔɹɡən/	n. 器官
cite	/ˈsaɪt/	v. 引用
mechanism	/ˈmɛkəˌnɪzəm/	n. 机制，机能
contest	/ˈkɑntɛst/, /kənˈtɛst/	n. 比赛
symptom	/ˈsɪmptəm/	n. 症状
deadline	/ˈdɛdˌɫaɪn/	n. 最后期限
domination	/ˌdɑməˈneɪʃən/	n. 主导
figure	/ˈfɪɡjɝ/	n. 人物；数字
imply	/ˌɪmˈpɫaɪ/	v. 暗示；意味；
curiosity	/ˌkjʊɹiˈɑsəti/	n. 好奇心
induce	/ˌɪnˈdus/	v. 引诱
acknowledge	/ækˈnɑɫɪdʒ/	v. 承认(…的权威)
gym	/ˈdʒɪm/	n. 体育馆，健身房
chef	/ˈʃɛf/	n. 厨师
sensible	/ˈsɛnsəbəɫ/	adj. 明智的
outline	/ˈaʊtˌɫaɪn/	n. 梗概，提纲，草稿，要点
react	/ɹiˈækt/	v. 对……作出反应
committee	/kəˈmɪti/	n. 委员会
civilian	/səˈvɪɫjən/	n. 平民，百姓
domestic	/dəˈmɛstɪk/	adj. 国内的
complex	/ˈkɑmpɫɛks/, /kəmˈpɫɛks/	adj. 复杂的
locate	/ˈɫoʊˌkeɪt/	v. 位于，定位
tighten	/ˈtaɪtən/	v. 使变紧
physics	/ˈfɪzɪks/	n. 物理，物理学
foothold	/ˈfʊtˌhoʊɫd/	n. 立足处（攀登时脚踩的地方）
discharge	/ˈdɪsˌtʃɑɹdʒ/, /dɪsˈtʃɑɹdʒ/	v. 释放；排出；批准离开; 命令离开
advanced	/ədˈvænst/	adj. 高级的
complicated	/ˈkɑmpɫəˌkeɪtəd/	adj. 复杂的，难懂的
needy	/ˈnidi/	adj. 贫穷的
stale	/ˈsteɪɫ/	adj. 乏味的，没有新意的
casual	/ˈkæʒəwəɫ/, /ˈkæʒwəɫ/	adj. 漫不经心的，随便的；偶然的
conform	/kənˈfɔɹm/	v. 相一致，遵守
recharge	/ɹiˈtʃɑɹdʒ/	v. 再充电
annually	/ˈænjuəɫi/	adv. 每年，一年一次
frown	/ˈfɹaʊn/	v. 皱眉
decline	/dɪˈkɫaɪn/	v. 下降，减少；拒绝
originate	/ɝˈɪdʒəˌneɪt/	v. 开始
prospect	/ˈpɹɑspɛkt/	n. 前景；前途
curious	/ˈkjʊɹiəs/	adj. 好奇的
incentive	/ˌɪnˈsɛnɪv/, /ˌɪnˈsɛntɪv/	n. 动机，刺激
virus	/ˈvaɪɹəs/	n. 病毒
cultivate	/ˈkəɫtəˌveɪt/	v. 培养， 养成
potential	/pəˈtɛnʃəɫ/	n. 潜力 adj. 有可能的；潜在的
reluctant	/ɹiˈɫəktənt/, /ɹɪˈɫəktənt/	adj. 不愿意的，勉强的
miserable	/ˈmɪzɝəbəɫ/, /ˈmɪzɹəbəɫ/	adj. 痛苦的
persuasion	/pɝˈsweɪʒən/	n. 劝说
competitiveness	/kəmˈpɛtɪtɪvnɪs/	n. 竞争力
restriction	/ɹiˈstɹɪkʃən/	n. 限制，限定
minor	/ˈmaɪnɝ/	adj. 小的
grain	/ˈɡɹeɪn/	n. 谷物，粮食
rate	/ˈɹeɪt/	n. 比率，速率
radically	/ˈɹædɪkɫi/	adv. 完全地，彻底地
distinct	/dɪˈstɪŋkt/	adj. 明显的；有区别的
equality	/ɪˈkwɑɫəti/	n. 平等
hardworking	/ˈhɑɹdˌwɝkɪŋ/	adj. 苦干的，不辞辛劳的
qualification	/ˌkwɑɫəfəˈkeɪʃən/	n. 资格(证明)，合格证书
bacteria	/bækˈtɪɹiə/	n. 细菌
corporate	/ˈkɔɹpɝət/, /ˈkɔɹpɹət/	adj. 团体的；法人的
undermine	/ˈəndɝˌmaɪn/	v. 逐渐削弱; 逐渐动摇
selfish	/ˈsɛɫfɪʃ/	adj. 自私的
cater	/ˈkeɪtɝ/	v. 迎合
survival	/sɝˈvaɪvəɫ/	n. 幸存
favor	/ˈfeɪvɝ/	v. 偏好, 较喜欢
conflict	/ˈkɑnfɫɪkt/, /kənˈfɫɪkt/	v. 冲突
client	/ˈkɫaɪənt/	n. 客户
garage	/ɡɝˈɑʒ/	n. 车库
fatigue	/fəˈtiɡ/	n. 疲劳，疲乏
plant	/ˈpɫænt/	n. 工厂
endanger	/ɛnˈdeɪndʒɝ/	v. 危及，危害，濒临危险
operation	/ˌɑpɝˈeɪʃən/	n. 手术；行动
handle	/ˈhændəɫ/	v. 处理
laborious	/ɫəˈbɔɹiəs/	adj. 费力的
passion	/ˈpæʃən/	n. 热情，激情
cooperative	/koʊˈɑpɝˌeɪtɪv/	adj. 合作的
inflate	/ɪnˈfɫeɪt/	v. (使)膨胀
resourceful	/ɹiˈsɔɹsfəɫ/	adj. 机智的
exaggerate	/ɪɡˈzædʒɝˌeɪt/	v. 夸张
loan	/ˈɫoʊn/	n. 贷款
vocabulary	/voʊˈkæbjəˌɫɛɹi/	n. 词汇
illustrate	/ˈɪɫəˌstɹeɪt/	v. 说明,阐明
overflow	/ˈoʊvɝˌfɫoʊ/, /ˌoʊvɝˈfɫoʊ/	v. 溢出，淹没
fantasize	/ˈfænəˌsaɪz/, /ˈfæntəˌsaɪz/	v. 想象，幻想
amusing	/əmˈjuzɪŋ/	adj. 有趣的，好玩儿的
universal	/ˌjunəˈvɝsəɫ/	adj. 宇宙的，全世界的；普遍的
generate	/ˈdʒɛnɝˌeɪt/	v. 产生
schedule	/ˈskɛdʒuɫ/, /ˈskɛdʒʊɫ/	n. 日程表
backslide	/ˈbækˌsɫaɪd/	v. 倒退，退步
particle	/ˈpɑɹtəkəɫ/, /ˈpɑɹtɪkəɫ/	n. 微粒
menu	/ˈmɛnju/	n. 菜单
reward	/ɹiˈwɔɹd/, /ɹɪˈwɔɹd/	n. 报答，奖赏 v. 报答，奖赏
reproduce	/ˌɹipɹəˈdus/	v. 复制
worsen	/ˈwɝsən/	v. （使）变得更坏
feedback	/ˈfidˌbæk/	n. 反馈
equivalent	/ɪˈkwɪvəɫənt/	adj. 相等的，相当的
resign	/ɹiˈsaɪn/, /ɹiˈzaɪn/, /ɹɪˈzaɪn/	v. 辞职
motivate	/ˈmoʊtəˌveɪt/	v. 促动，激发，诱导
compel	/kəmˈpɛɫ/	v. 强迫
revise	/ɹiˈvaɪz/, /ɹɪˈvaɪz/	v. 修订
dampen	/ˈdæmpən/	v. 抑制
prosperity	/pɹɑˈspɛɹəti/	n. 繁荣
flow	/ˈfɫoʊ/	n. 流动 v. 流动
humanity	/hjuˈmænɪti/, /juˈmænɪti/	n. 人类〔总称〕；人性
sideways	/ˈsaɪdˌweɪz/	adv. 向侧面
pursue	/pɝˈsu/	v. 追求
innovate	/ˈɪnəˌveɪt/, /ˈɪnoʊˌveɪt/	v. 创新，革新
mill	/ˈmɪɫ/	n. 工厂
promotional	/pɝˈmoʊʃənəɫ/, /pɹəˈmoʊʃənəɫ/	adj. 促销的
dump	/ˈdəmp/	v. 扔下，倾倒；倾销
resist	/ɹiˈzɪst/, /ɹɪˈzɪst/	v. 抵抗，抗拒
source	/ˈsɔɹs/	n. 来源
legal	/ˈɫiɡəɫ/	adj. 法律的
picky	/ˈpɪki/	adj. 挑剔的
steal	/ˈstiɫ/	v. 偷窃
despite	/dɪˈspaɪt/	prep. 尽管
explosion	/ɪksˈpɫoʊʒən/	n. 爆炸
gap	/ˈɡæp/	n. 缝隙，缺口；差距
relevant	/ˈɹɛɫəvənt/	adj. 有关的，切题的
ignore	/ˌɪɡˈnɔɹ/	v. 忽视，不顾
complete	/kəmˈpɫit/	v. 完成 adj. 完整的，彻底的
sufficient	/səˈfɪʃənt/	adj. 足够的
switch	/ˈswɪtʃ/	v. 转变，改变
request	/ɹiˈkwɛst/, /ɹɪˈkwɛst/	n. 要求
stereotype	/ˈstɛɹiəˌtaɪp/, /ˈstɛɹioʊˌtaɪp/	n. 老套，固定模式
couple	/ˈkəpəɫ/	n. 夫妻，情侣
honesty	/ˈɑnəsti/	n. 诚实
transportation	/ˌtɹænspɝˈteɪʃən/	n. 运输
physical	/ˈfɪzɪkəɫ/	adj. 身体上的
screen	/ˈskɹin/	v. 筛查
divine	/dɪˈvaɪn/	adj. 神圣的
guideline	/ˈɡaɪdˌɫaɪn/	n. 指导原则
revolution	/ˌɹɛvəˈɫuʃən/	n. 革命
interruption	/ˌɪntɝˈəpʃən/	n. 打扰；中断
dishwasher	/ˈdɪʃˌwɑʃɝ/	n. 洗碗机
promising	/ˈpɹɑməsɪŋ/	adj. 有希望的，有前途的
vary	/ˈvɛɹi/	v. 不同；变化
permanent	/ˈpɝmənənt/	adj. 永久的
manufacture	/ˌmænjəˈfæktʃɝ/	v. 制造，生产
fussy	/ˈfəsi/	adj. 爱挑剔的；
dictate	/ˈdɪkˌteɪt/, /dɪkˈteɪt/	v. 命令，规定 n. 命令，规定
professional	/pɹəˈfɛʃənəɫ/	adj. 专业的
prosper	/ˈpɹɑspɝ/	v. 繁荣
exchange	/ɪksˈtʃeɪndʒ/	n. 交换，交流 v. 交换，交流
concentration	/ˌkɑnsənˈtɹeɪʃən/	n. 集中
gesture	/ˈdʒɛstʃɝ/	n. 手势，姿势
deliberate	/dɪˈɫɪbɝˌeɪt/, /dɪˈɫɪbɝət/, /dɪˈɫɪbɹət/	adj. 故意的
contribution	/ˌkɑntɹəbˈjuʃən/	n. 贡献；捐款
